Item Name,Buy Price,Sell Price,Margin,Limit,1h Volume,Item ID,Filtered By
Gilded med helm,2000000,2357992,310833,70,2,20146,Sale price spike (1h vs 7d)
Gilded platebody,8750402,8998261,67894,8,1,3481,No 3h average data
Dragonstone platebody,734772,805999,55108,4,2,24037,Turnover ETA > 6h
Gilded plateskirt,710001,775755,50239,8,3,3485,Actual profit/hr < 20k
Zamorak full helm,422281,473244,41499,8,8,2657,Sale price spike (1h vs 7d)
Ham joint,1152818,1211991,34934,100,93,23360,Long-term crash (>10% drop)
Zamorak armour set (lg),576119,614898,26482,8,6,13044,Actual profit/hr < 20k
Hill giant club,1094083,1140878,23978,125,16,20756,Turnover ETA > 6h
Team cape x,1154056,1200799,22728,4,3,20214,ETA volume too low
Armadyl rune armour set (sk),120571,143970,20520,8,2,13054,Profit/slot-hr < 20k
Rune shield (h3),34147,47000,11913,70,2,7348,Sale price spike (1h vs 7d)
Amulet of magic (t),14361,26262,11376,5,4,10366,Sale price spike (1h vs 7d)
Rune trimmed set (lg),131000,142999,9140,8,9,13028,Profit/slot-hr < 20k
Rune shield (h5),35000,45000,9100,70,2,7360,Profit margin < 1gp
Blue wizard robe (g),169822,182241,8775,4,4,7390,Profit/slot-hr < 20k
Amulet of power (t),305548,320000,8052,5,1,23354,ETA volume too low
Leather body (g),46244,55210,7862,8,7,23381,Purchase price drop (1h vs 7d)
Rune shield (h1),63938,72499,7112,70,2,7336,Profit/slot-hr < 20k
Rune armour set (sk),128200,137804,6848,8,9,13026,Profit/slot-hr < 20k
Black wizard hat (t),88429,94773,4449,4,3,12455,Profit/slot-hr < 20k
Studded chaps (g),4000,8377,4210,8,2,7366,Purchase price drop (1h vs 7d)
Rune helm (h1),54309,59159,3667,70,5,10286,Profit/slot-hr < 20k
Rune shield (h2),34001,38333,3566,70,3,7342,Sale price spike (3h vs 7d)
Rune helm (h5),20989,24720,3237,70,1,10294,Profit/slot-hr < 20k
Studded body (g),4800,8200,3236,8,1,7362,Profit/slot-hr < 20k
Blue skirt (g),18000,21610,3178,4,2,7386,Purchase price drop (1h vs 7d)
Blue halloween mask,7683,11000,3097,5,3,1055,No 3h average data
Rune scimitar ornament kit (Saradomin),5120,8170,2887,4,7,23324,Name exclusion
Bandos platebody,64674,68746,2698,8,3,12480,Profit/slot-hr < 20k
Rune armour set (lg),128314,133016,2042,8,5,13024,Profit/slot-hr < 20k
Partyhat set,112425,116800,2039,5,10,13173,No 3h average data
Green d'hide chaps (g),49323,51686,1330,8,4,7378,Limit × profit < 10k
Red bead,1673,2995,1263,11000,14,1470,Sale price spike (1h vs 7d)
Green d'hide body (g),4500,5823,1207,8,2,7370,Limit × profit < 10k
Red boots,1737,3000,1203,150,13,2904,Irregular volumes
Black platebody (h1),1902,3093,1130,8,3,23366,Limit × profit < 10k
Rune helm (h4),20120,21437,889,70,2,10292,Profit/slot-hr < 20k
Black pickaxe,2200,3098,837,4,46,12297,Limit × profit < 10k
Anti-dragon shield,125,950,806,125,71,1540,Irregular volumes
Rune platelegs (g),38159,39748,795,8,2,2617,Limit × profit < 10k
Santa hat,26757,28000,683,5,29,1050,Limit × profit < 10k
Team-1 cape,802,1385,556,150,7,4315,Sale price spike (3h vs 7d)
Black cape,215,730,501,150,32,1019,Irregular volumes
Frog slippers,28941,30000,459,4,2,23288,Limit × profit < 10k
Team-47 cape,111,469,349,150,2,4407,Irregular volumes
Adamant plateskirt,3480,3897,340,125,12,1091,Profit/slot-hr < 20k
Black platelegs,1165,1489,295,125,53,1077,Limit × profit < 10k
Amulet of power,1571,1899,291,125,4197,1731,Purchase price spike (1h vs 7d)
Amulet mould,219,500,271,40,13,1595,Sale price spike (1h vs 7d)
Staff of earth,712,994,263,125,12,1385,Profit/slot-hr < 20k
Adamant longsword,1466,1748,248,125,165,1301,Sale price spike (1h vs 7d)
Mithril full helm,650,907,239,125,19,1159,Irregular volumes
Fire talisman,2005,2258,208,11000,12,1442,Purchase price drop (1h vs 7d)
Zamorak monk top,550,755,190,15,10,1035,Limit × profit < 10k
Black chainbody,3151,3398,180,125,7,1107,Profit/slot-hr < 20k
Adamant warhammer,2500,2733,179,125,254,1345,Sale price spike (1h vs 7d)
Steel kiteshield,300,487,178,125,8,1193,Irregular volumes
Adamant full helm,1700,1899,162,125,146,1161,Profit/slot-hr < 20k
Amulet of defence,680,830,134,125,313,1729,Profit/slot-hr < 20k
Wizard's mind bomb,125,262,132,2000,10,1907,Irregular volumes
Goblin mail,259,387,121,15,138,288,Limit × profit < 10k
Bronze chainbody,31,150,116,125,274,1103,Sale price spike (1h vs 7d)
Antipoison(2),90,209,115,2000,30,177,Name exclusion
Steel plateskirt,204,314,104,125,16,1083,Profit margin < 1gp
Mithril kiteshield,1077,1200,99,125,44,1197,No 3h average data
Small fishing net,88,189,98,40,233,303,Limit × profit < 10k
Studded body,255,360,98,125,42,1133,Sale price spike (1h vs 7d)
Adamant sword,913,1030,97,125,36,1287,Sale price spike (3h vs 7d)
White bead,866,978,93,11000,13,1476,Irregular volumes
Monkey bones,202,301,93,3000,15,3183,Irregular volumes
Bronze platelegs,183,280,92,125,3,1075,Irregular volumes
Black bead,1093,1207,90,11000,13,1474,Profit/slot-hr < 20k
Adamant pickaxe,1468,1587,88,40,34,1271,Limit × profit < 10k
Green d'hide chaps,2083,2213,86,125,75,1099,Limit × profit < 10k
Staff of air,1398,1514,86,125,65,1381,Limit × profit < 10k
Air talisman,144,229,81,11000,252,1438,Sale price spike (1h vs 7d)
Muddy key,6010,6214,80,11000,6,991,Profit/slot-hr < 20k
Steel med helm,110,193,80,125,11,1141,Limit × profit < 10k
Dwarven stout,136,220,80,2000,56,1913,Irregular volumes
Bone fragments,527,616,77,500,1497,25139,No 3h average data
Bear fur,213,294,76,18000,89,948,Irregular volumes
Jester cape,17000,17423,75,4,5,23297,Limit × profit < 10k
Rune scimitar ornament kit (Guthix),2699,2826,71,4,3,23321,Name exclusion
Yellow bead,974,1065,70,11000,15,1472,Irregular volumes
Rune dagger,4271,4428,69,70,504,1213,Limit × profit < 10k
Knife,125,195,67,40,134,946,Limit × profit < 10k
Steel platelegs,250,323,67,125,46,1069,Limit × profit < 10k
